clubLabel,venueLabel,coordinates,countryLabel
Joe Public F.C.,Marvin Lee Stadium,Point(-61.384761 10.641608),Trinidad and Tobago
Lobi Stars F.C.,Aper Aku Stadium,Point(8.51805556 7.74166667),Nigeria
Rakvere JK Tarvas,Rakvere linnastaadion,Point(26.380833 59.359444),Estonia
JK Narva Trans,Narva Kreenholmi Stadium,Point(28.18465 59.36347),Estonia
Forest Green Rovers F.C.,The New Lawn,Point(-2.233233 51.6984),United Kingdom
Albion Sports A.F.C.,Horsfall Stadium,Point(-1.776203 53.758856),United Kingdom
Bradford (Park Avenue) A.F.C.,Horsfall Stadium,Point(-1.776203 53.758856),United Kingdom
Leek Town F.C.,Harrison Park,Point(-2.03974 53.1097),United Kingdom
Leek Town F.C.,Harrison Park,Point(-2.039742 53.109706),United Kingdom
Boston United F.C.,York Street,Point(-0.019117 52.976786),United Kingdom
Fleetwood Town F.C.,Highbury Stadium,Point(-3.024728 53.916508),United Kingdom
Dartford F.C.,Princes Park,Point(0.2308 51.437172),United Kingdom
Thamesmead Town F.C.,Princes Park,Point(0.2308 51.437172),United Kingdom
Tooting & Mitcham United F.C.,Imperial Fields,Point(-0.172381 51.393231),United Kingdom
Tooting Bec F.C.,Imperial Fields,Point(-0.172381 51.393231),United Kingdom
Berwick Rangers F.C.,Shielfield Park,Point(-2.01583 55.76),United Kingdom
Shrewsbury Town F.C.,New Meadow,Point(-2.74933 52.6886),United Kingdom
Shrewsbury Town F.C.,New Meadow,Point(-2.74933 52.68863),United Kingdom
Mansfield Town F.C.,Field Mill,Point(-1.200556 53.138056),United Kingdom
Tranmere Rovers F.C.,Prenton Park,Point(-3.0325 53.373722),United Kingdom
Weymouth F.C.,Bob Lucas Stadium,Point(-2.485203 50.619906),United Kingdom
Rushden & Diamonds F.C.,Nene Park,Point(-0.599992 52.328033),United Kingdom
Kettering Town F.C.,Nene Park,Point(-0.599992 52.328033),United Kingdom
Stafford Rangers F.C.,Marston Road,Point(-2.116858 52.818542),United Kingdom
Northwich Victoria F.C.,Marston Road,Point(-2.116858 52.818542),United Kingdom
Ebbsfleet United F.C.,Stonebridge Road,Point(0.322272 51.449539),United Kingdom
Northfleet United F.C.,Stonebridge Road,Point(0.322272 51.449539),United Kingdom
Welling United F.C.,Park View Road,Point(0.116514 51.460317),United Kingdom
Bexley United F.C.,Park View Road,Point(0.116514 51.460317),United Kingdom
Erith & Belvedere F.C.,Park View Road,Point(0.116514 51.460317),United Kingdom
AFC Bournemouth,Dean Court,Point(-1.838333 50.735278),United Kingdom
Hyde United F.C.,Ewen Fields,Point(-2.068114 53.4506),United Kingdom
Lincoln City F.C.,Sincil Bank,Point(-0.540811 53.218289),United Kingdom
Chesterfield F.C.,Proact Stadium,Point(-1.427203 53.253442),United Kingdom
Alfreton Town F.C.,North Street,Point(-1.3813 53.0945),United Kingdom
Burton Albion F.C.,Pirelli Stadium,Point(-1.626958 52.821906),United Kingdom
Margate F.C.,Hartsdown Park,Point(1.374167 51.379722),United Kingdom
Gillingham F.C.,Priestfield Stadium,Point(0.560753 51.38425),United Kingdom
Southport F.C.,Haig Avenue,Point(-2.978856 53.638089),United Kingdom
Scunthorpe United F.C.,Glanford Park,Point(-0.69525 53.586722),United Kingdom
Chester City F.C.,Deva Stadium,Point(-2.923814 53.189181),United Kingdom
Chester F.C.,Deva Stadium,Point(-2.923814 53.189181),United Kingdom
Torquay United F.C.,Plainmoor,Point(-3.523825 50.476408),United Kingdom
Truro City F.C.,Plainmoor,Point(-3.523825 50.476408),United Kingdom
Babbacombe F.C.,Plainmoor,Point(-3.523825 50.476408),United Kingdom
Ellacombe F.C.,Plainmoor,Point(-3.523825 50.476408),United Kingdom
Torquay Town F.C.,Plainmoor,Point(-3.523825 50.476408),United Kingdom
Fútbol Club Motagua,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
Club Olimpia Deportivo,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
Pumas UNAH,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
Atlético Indio,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
Atlético Morazán,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
C.D. Atlético Español,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
C.D. Curacao,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
C.D. Federal,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
C.D. Troya,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
Jaguares de UPNFM,Estadio Tiburcio Carías Andino,Point(-87.203978 14.098403),Honduras
Real C.D. España,Estadio General Francisco Morazán,Point(-88.033592 15.507468),Honduras
C.D. Dandy,Estadio General Francisco Morazán,Point(-88.033592 15.507468),Honduras
C.D. La Salle,Estadio General Francisco Morazán,Point(-88.033592 15.507468),Honduras
Marathón Reservas,Estadio General Francisco Morazán,Point(-88.033592 15.507468),Honduras
Palestino F.C.,Estadio General Francisco Morazán,Point(-88.033592 15.507468),Honduras
Parrillas One,Estadio General Francisco Morazán,Point(-88.033592 15.507468),Honduras
Real España Las Vegas,Estadio General Francisco Morazán,Point(-88.033592 15.507468),Honduras
Plymouth Argyle F.C.,Home Park,Point(-4.150833333 50.388055555),United Kingdom
Stevenage F.C.,Broadhall Way,Point(-2.43575 53.0874),United Kingdom
Stevenage Athletic F.C.,Broadhall Way,Point(-2.43575 53.0874),United Kingdom
Stevenage Town F.C.,Broadhall Way,Point(-2.43575 53.0874),United Kingdom
Stevenage F.C.,Broadhall Way,Point(-0.193608 51.889839),United Kingdom
Stevenage Athletic F.C.,Broadhall Way,Point(-0.193608 51.889839),United Kingdom
Stevenage Town F.C.,Broadhall Way,Point(-0.193608 51.889839),United Kingdom
Huddersfield Town A.F.C.,John Smith's Stadium,Point(-1.768333333 53.654166666),United Kingdom
Brighton & Hove Albion F.C.,Falmer Stadium,Point(-0.083277777 50.861822222),United Kingdom
Rochdale A.F.C.,Spotland Stadium,Point(-2.18 53.620833),United Kingdom
Leeds United F.C.,Elland Road,Point(-1.572222222 53.777777777),United Kingdom
Leeds City F.C.,Elland Road,Point(-1.572222222 53.777777777),United Kingdom
Leeds United A.F.C. Reserves and Youth Team,Elland Road,Point(-1.572222222 53.777777777),United Kingdom
Portsmouth F.C.,Fratton Park,Point(-1.063888888 50.796388888),United Kingdom
Ipswich Town F.C.,Portman Road,Point(1.144830555 52.055061111),United Kingdom
Barrow A.F.C.,Holker Street,Point(-3.235 54.123333333),United Kingdom
Northampton Town F.C.,Sixfields Stadium,Point(-0.93345 52.235197),United Kingdom
Bury F.C.,Gigg Lane,Point(-2.294822 53.580506),United Kingdom
Leicester City F.C.,King Power Stadium,Point(-1.142222222 52.620277777),United Kingdom
Accrington Stanley F.C.,Crown Ground,Point(-2.370911 53.765356),United Kingdom
FK Borac Banja Luka,Gradski stadion,Point(17.1996 44.7761),Bosnia and Herzegovina
IF Elfsborg,Borås Arena,Point(12.934334 57.73457),Sweden
S.C. Damash,Shahid Dr. Azodi Stadium,Point(49.589072 37.264627),Iran
Hull City A.F.C.,KC Stadium,Point(-0.367777777 53.746111111),United Kingdom
Helsingborgs IF,Olympia,Point(12.706944444 56.049444444),Sweden
FSV Oggersheim,Südweststadion,Point(8.441389 49.468333),Germany
Udinese Calcio,Stadio Friuli,Point(13.200136 46.081603),Italy
Clube Náutico Capibaribe,Estádio dos Aflitos,Point(-34.896667 -8.040556),Brazil
FC Dinamo Moscow,Arena Khimki,Point(37.45416667 55.88527778),Russia
NK Celje,Arena Petrol,Point(15.270278 46.246667),Slovenia
Tottenham Hotspur F.C.,White Hart Lane,Point(-0.065833333 51.603333333),United Kingdom
Black Leopards F.C.,Peter Mokaba Stadium,Point(29.468765 -23.924689),South Africa
Polokwane City F.C.,Peter Mokaba Stadium,Point(29.468765 -23.924689),South Africa
Mpumalanga Black Aces F.C.,Mbombela Stadium,Point(30.929777777 -25.461888888),South Africa
Lech Poznań,Stadion Miejski,Point(16.858056 52.397222),Poland
Warta Poznań,Stadion Miejski,Point(16.858056 52.397222),Poland
Śląsk Wrocław,Stadion Miejski,Point(16.944094 51.141797),Poland
Platinum Stars F.C.,Royal Bafokeng Stadium,Point(27.160833333 -25.578611111),South Africa
A.E.K. Athens F.C.,Olympic Stadium,Point(23.7875 38.036111111),Greece
FC Zestafoni,David Abashidze Stadium,Point(43.02568 42.111213),Georgia
FC Basel,St. Jakob-Park,Point(7.62 47.541389),Switzerland
FC Ural Sverdlovsk Oblast,Central Stadium Yekaterinburg,Point(60.573611 56.832222),Russia
Rubin Kazan,Central Stadium,Point(49.098889 55.796944),Russia
FC Aktobe,Aktobe Central Stadium,Point(57.160278 50.291389),Kazakhstan
FK Jonava,Central stadium of Jonava,Point(24.271389 55.078056),Lithuania
FC Kairat Academy,Almaty Central Stadium,Point(76.92435 43.238331),Kazakhstan
FC Kairat,Almaty Central Stadium,Point(76.92435 43.238331),Kazakhstan
FC Megasport,Almaty Central Stadium,Point(76.92435 43.238331),Kazakhstan
FC Kairat Academy,Almaty Central Stadium,Point(76.92435 43.238331),Kazakhstan
FC Irtysh Pavlodar,Pavlodar Central Stadium,Point(76.949712 52.276383),Kazakhstan
FC Tobol,Kostanay Central Stadium,Point(63.636578 53.225974),Kazakhstan
FC Fakel Voronezh,Tsentralnyi Profsoyuz Stadion,Point(39.204167 51.672778),Russia
FC FSA Voronezh,Tsentralnyi Profsoyuz Stadion,Point(39.204167 51.672778),Russia
VfB Friedrichshafen,Zeppelinstadion,Point(9.481577 47.668335),Germany
Newcastle United F.C.,St James' Park,Point(-1.621666666 54.975555555),United Kingdom
Newcastle United F.C. Reserves and Academy,St James' Park,Point(-1.621666666 54.975555555),United Kingdom
Newcastle West End F.C.,St James' Park,Point(-1.621666666 54.975555555),United Kingdom
Paris Saint-Germain F.C.,Parc des Princes,Point(2.253055555 48.841388888),France
Q21427220,Parc des Princes,Point(2.253055555 48.841388888),France
Queen's Park F.C.,Hampden Park,Point(-4.252002777 55.825863888),United Kingdom
BSC Young Boys,Stade de Suisse,Point(7.465 46.962778),Switzerland
FC Ternopil,City Stadium,Point(25.609167 49.553056),Ukraine
FC Nyva Ternopil,City Stadium,Point(25.609167 49.553056),Ukraine
Guizhou Renhe F.C.,Guiyang Olympic Sports Center,Point(106.605749 26.620721),People's Republic of China
Guizhou HengFeng ZhiCHeng,Guiyang Olympic Sports Center,Point(106.605749 26.620721),People's Republic of China
A.C.D. Treviso 2013,Stadio Omobono Tenni,Point(12.255833 45.67),Italy
GKS Bełchatów,Stadion GKS,Point(19.381692 51.365839),Poland
Racing de Santander,Campos de Sport de El Sardinero,Point(-3.793333 43.476389),Spain
Q5773859,Campos de Sport de El Sardinero,Point(-3.793333 43.476389),Spain
Orlando City SC,Camping World Stadium,Point(-81.402777777 28.539166666),United States of America
Orlando Sundogs,Camping World Stadium,Point(-81.402777777 28.539166666),United States of America
Los Angeles Galaxy,Dignity Health Sports Park,Point(-118.261111111 33.864444444),United States of America
C.D. Chivas USA,Dignity Health Sports Park,Point(-118.261111111 33.864444444),United States of America
Los Angeles Sol,Dignity Health Sports Park,Point(-118.261111111 33.864444444),United States of America
Rot-Weiß Lüdenscheid,Nattenberg-Stadion,Point(7.619167 51.207778),Germany
Derby County F.C.,Pride Park Stadium,Point(-1.447222222 52.915),United Kingdom
Shanghai Shenhua F.C.,Hongkou Football Stadium,Point(121.4762 31.2733),People's Republic of China
Olympique de Marseille,Stade Vélodrome,Point(5.395833333 43.269722222),France
Academie Ny Antsika,Stade Vélodrome,Point(5.395833333 43.269722222),France
Japan Actuel's FC,Stade Vélodrome,Point(5.395833333 43.269722222),France
FC Wacker Innsbruck,Tivoli-Neu,Point(11.410789 47.255972),Austria
Cúcuta Deportivo,Zipaquirá,Point(-74.001388888 5.024722222),Colombia
FC Red Bull Salzburg,Red Bull Arena,Point(12.998222222 47.81625),Austria
A.F.C. Ajax,Johan Cruyff Arena,Point(4.941944444 52.314166666),Netherlands
Grasshopper Club Zürich,Letzigrund,Point(8.503801 47.382791),Switzerland
FC Zürich,Letzigrund,Point(8.503801 47.382791),Switzerland
Rangers F.C.,Ibrox,Point(-4.31023 55.8527),United Kingdom
Rangers F.C.,Ibrox,Point(-4.309344 55.853242),United Kingdom
RB Leipzig,Red Bull Arena,Point(12.348056 51.345833),Germany
Philippine Air Force F.C.,Rizal Memorial Stadium,Point(120.992 14.563403),Philippines
Detroit Express,Pontiac Silverdome,Point(-83.255 42.645833333),United States of America
Detroit Express,Pontiac Silverdome,Point(-83.255 42.645833333),United States of America
Olympiacos F.C.,Karaiskakis Stadium,Point(23.664536 37.946169),Greece
Torino F.C.,Stadio Olimpico Grande Torino,Point(7.65 45.041667),Italy
Servette FC,Stade de Genève,Point(6.1275 46.177778),Switzerland
Celtic F.C.,Celtic Park,Point(-4.205588888 55.849711111),United Kingdom
FC Kärnten,Hypo-Arena,Point(14.278281 46.608847),Austria
SK Austria Klagenfurt,Hypo-Arena,Point(14.278281 46.608847),Austria
SK Austria Kärnten,Hypo-Arena,Point(14.278281 46.608847),Austria
Le Havre A.C.,Stade Océane,Point(0.174722 49.499722),France
Criciúma Esporte Clube,Estádio Heriberto Hülse,Point(-49.3675 -28.684167),Brazil
B36 Tórshavn,Gundadalur,Point(-6.7811394 62.0193487),Faroe Islands
Havnar Bóltfelag,Gundadalur,Point(-6.7811394 62.0193487),Faroe Islands
Undrið FF,Gundadalur,Point(-6.7811394 62.0193487),Faroe Islands
Strugglers FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
FC Zimbru Chișinău,Zimbru Stadium,Point(28.866944 46.980278),Moldova
FC Dacia Chișinău,Zimbru Stadium,Point(28.866944 46.980278),Moldova
FC Thun,Arena Thun,Point(7.606075 46.744817),Switzerland
Bolton Wanderers F.C.,Reebok Stadium,Point(-2.535555555 53.580555555),United Kingdom
Blackburn Rovers F.C.,Ewood Park,Point(-2.489166666 53.728611111),United Kingdom
Mantova 1911 S.S.D.,Stadio Danilo Martelli,Point(10.794167 45.146111),Italy
F.C. Girondins de Bordeaux,Stade Bordeaux-Atlantique,Point(-0.563333 44.896944),France
Motherwell F.C.,Fir Park,Point(-3.980078 55.779947),United Kingdom
TSV 1860 München,Grünwalder Stadion,Point(11.574444 48.110833),Germany
Almere City FC,Mitsubishi Forklift Stadion,Point(5.240556 52.394444),Netherlands
C.D. Tenerife,Estadio Heliodoro Rodríguez López,Point(-16.260555555 28.463055555),Spain
MTK Budapest FC,Hidegkuti Nándor Stadium,Point(19.106725 47.490919444),Hungary
1. FC Passau,Drei Flüsse Stadion,Point(13.422778 48.564444),Germany
Real Avilés CF,Estadio Román Suárez Puerta,Point(-5.9306 43.5575),Spain
Condal Club,Estadio Alejandro Ortea,Point(-5.704167 43.391944),Spain
R.S.C. Anderlecht,Constant Vanden Stock Stadium,Point(4.298333 50.834167),Belgium
CD Castellón,Nou Estadi Castalia,Point(-0.038792 39.996053),Spain
FC Alania Vladikavkaz,Republican Spartak Stadium,Point(44.695 43.023056),Russia
VfL Osnabrück,Stadion an der Bremer Brücke,Point(8.071111 52.280833),Germany
SC Rheindorf Altach,Stadion Schnabelholz,Point(9.6372 47.3536),Austria
Anorthosis Famagusta FC,Antonis Papadopoulos Stadium,Point(33.620922 34.937422),Cyprus
FC Akzhayik,Petr Atoyan Stadium,Point(51.350833 51.211944),Kazakhstan
FC KooTeePee,Arto Tolsa Areena,Point(26.939722 60.4575),Finland
Kotkan Työväen Palloilijat,Arto Tolsa Areena,Point(26.939722 60.4575),Finland
ACF Fiorentina,Stadio Artemio Franchi,Point(11.282258 43.780822),Italy
F.C. Cabinda,Estádio Nacional do Chiazi,Point(12.18477778 -5.55211111),Angola
Sporting Clube Petróleos de Cabinda,Estádio Nacional do Chiazi,Point(12.18477778 -5.55211111),Angola
F.C. Famalicão,Estádio Municipal 22 de Junho,Point(-8.52242222 41.40127778),Portugal
Zhejiang Greentown F.C.,Yellow Dragon Sports Center,Point(120.129 30.2683),People's Republic of China
Pacy Vallée-d'Eure,Stade Pacy-Ménilles,Point(1.37222222 49.02777778),France
Jiangsu Suning F.C.,Nanjing Olympic Sports Centre,Point(118.7197 32.010642),People's Republic of China
Monarcas Morelia,Morelos Stadium,Point(-101.233622 19.718742),Mexico
Monarcas Morelia Premier,Morelos Stadium,Point(-101.233622 19.718742),Mexico
Monarcas Morelia Reserves and Academy,Morelos Stadium,Point(-101.233622 19.718742),Mexico
Monarcas Morelia,Morelos Stadium,Point(-101.233622 19.718742),Mexico
Portimonense S.C.,Estádio Municipal de Portimão,Point(-8.539833 37.135694),Portugal
Q678978,Castelão,Point(-44.259722 -2.548611),Brazil
Sampaio Corrêa F.C.,Castelão,Point(-44.259722 -2.548611),Brazil
Moto Club de São Luís,Castelão,Point(-44.259722 -2.548611),Brazil
Maranhão Atlético Clube,Castelão,Point(-44.259722 -2.548611),Brazil
Q3561384,Castelão,Point(-44.259722 -2.548611),Brazil
Livingston F.C.,Almondvale Stadium,Point(-3.522872 55.886167),United Kingdom
Stabæk Fotball,Nadderud Stadion,Point(10.581111 59.921111),Norway
Centre d'Esports Sabadell Futbol Club,Estadi de la Nova Creu Alta,Point(2.091944 41.554722),Spain
Budapesti VSC,Szőnyi úti Stadion,Point(19.0917 47.5236),Hungary
Vörös Meteor Egyetértés SK,Szőnyi úti Stadion,Point(19.0917 47.5236),Hungary
Olympique Alès,Stade Pierre Pibarot,Point(4.09 44.11888889),France
Red Star F.C.,Stade de Paris,Point(2.340833 48.905833),France
Vegalta Sendai,Yurtec Stadium Sendai,Point(140.881944 38.319167),Japan
Sony Sendai FC,Yurtec Stadium Sendai,Point(140.881944 38.319167),Japan
TOP Oss,Heesen Yachts Stadion,Point(5.528056 51.755),Netherlands
Shimizu S-Pulse,Outsourcing Stadium Nihondaira,Point(138.481111 34.984444),Japan
Szolnoki MÁV FC,Tiszaligeti Stadion,Point(20.199722 47.168056),Hungary
CS Gaz Metan Mediaș,Stadionul Gaz Metan,Point(24.35275 46.172583),Romania
Universidad de Los Andes FC,Estadio Guillermo Soto Rosa,Point(-71.15 8.6),Venezuela
El-Kanemi Warriors,El-Kanemi Stadium,Point(13.14583333 11.84611111),Nigeria
FC Inter Sibiu,Stadionul Municipal,Point(24.143611 45.783056),Romania
CSU Voința Sibiu,Stadionul Municipal,Point(24.143611 45.783056),Romania
Societatea Gimnastică Sibiu,Stadionul Municipal,Point(24.143611 45.783056),Romania
FC Sibiu,Stadionul Municipal,Point(24.143611 45.783056),Romania
FC Hermannstadt,Stadionul Municipal,Point(24.143611 45.783056),Romania
Elazığspor,Elazığ Atatürk Stadium,Point(39.197778 38.671111),Turkey
Elazığ Belediyespor,Elazığ Atatürk Stadium,Point(39.197778 38.671111),Turkey
RCD Espanyol de Barcelona,Estadi de Sarrià,Point(2.133169 41.393111),Spain
BK Häcken,Rambergsvallen,Point(11.930833333 57.718888888),Sweden
Lundby IF,Rambergsvallen,Point(11.930833333 57.718888888),Sweden
Heart of Midlothian F.C.,Tynecastle Stadium,Point(-3.232222 55.939167),United Kingdom
Real Cartagena,Estadio Jaime Morón León,Point(-75.498237 10.405534),Colombia
Real Cartagena Femenino,Estadio Jaime Morón León,Point(-75.498237 10.405534),Colombia
Celta Vigo,Balaídos,Point(-8.740328 42.211861),Spain
Coritiba F.C.,Estádio Couto Pereira,Point(-49.2595 -25.421111),Brazil
Coritiba Foot Ball Club Junior Team,Estádio Couto Pereira,Point(-49.2595 -25.421111),Brazil
PFC Chernomorets Burgas Sofia,Vasil Levski National Stadium,Point(23.335444 42.687583),Bulgaria
FC CSKA 1948 Sofia,Vasil Levski National Stadium,Point(23.335444 42.687583),Bulgaria
FBC Melgar,Estadio Monumental Virgen de Chapi,Point(-71.520203 -16.40729),Peru
Atlético Universidad,Estadio Monumental Virgen de Chapi,Point(-71.520203 -16.40729),Peru
IDUNSA,Estadio Monumental Virgen de Chapi,Point(-71.520203 -16.40729),Peru
Binational Municipal Sports School,Estadio Monumental Virgen de Chapi,Point(-71.520203 -16.40729),Peru
Borussia Neunkirchen,Ellenfeldstadion,Point(7.17972 49.3367),Germany
Oshakati City F.C.,Q1334923,Point(15.61388889 -17.78888889),Namibia
Sumgayit PFC,Mehdi Huseynzade Stadium,Point(49.674722 40.601389),Azerbaijan
FC Absheron,Mehdi Huseynzade Stadium,Point(49.674722 40.601389),Azerbaijan
FK Gänclärbirliyi Sumqayit,Mehdi Huseynzade Stadium,Point(49.674722 40.601389),Azerbaijan
FK Standard Sumgayit,Mehdi Huseynzade Stadium,Point(49.674722 40.601389),Azerbaijan
Doncaster Rovers F.C.,Keepmoat Stadium,Point(-1.113889 53.509722),United Kingdom
KF Skënderbeu Korçë,Skënderbeu Stadium,Point(20.782778 40.625833),Albania
